,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
709,Tata New Safari Dicor EX 4X2,/used-car-details/used-Tata-Safari-2005-2017-Dicor-EX-4X2-cars-Kolkata_3328AF03F46B2732C8A440650EF48B6B.htm,2007,2 Lakh*,Rs.  16.84-24.46 Lakh*,"10,000 kms",Diesel,Individual,138.1bhp@4000rpm,Manual,Second Owner,13.93 kmpl,2179 CC,FWD,7,5 Speed
710,Maruti Zen Estilo LXI BS IV,/used-car-details/used-Maruti-Zen-Estilo-LXI-BS-IV-cars-Kolkata_281F938418783D5CBDEB804A188CE734.htm,2012,2.1 Lakh*,,"50,000 kms",Petrol,Individual,67.1bhp@6200rpm,Manual,First Owner,19.0 kmpl,998 CC,FWD,5,5 Speed
711,Maruti Vitara Brezza ZDi AMT,/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-ZDi-AMT-cars-Kolkata_015C76998148D09FAD6051FA26DE7ADF.htm,2018,8.3 Lakh*,,"16,000 kms",Diesel,Dealer,88.5bhp@4000rpm,Automatic,First Owner,24.3 kmpl,1248 CC,FWD,5,5 Speed
712,Volkswagen Polo GT TSI,/used-car-details/used-Volkswagen-Polo-2013-2015-GT-TSI-cars-Kolkata_B787A9E354046301D755B0C523425927.htm,2017,5.99 Lakh*,Rs.  6.90-11.07 Lakh*,"29,900 kms",Petrol,Dealer,103.6bhp@5000rpm,Automatic,First Owner,17.21 kmpl,1197 CC,FWD,5,7 Speed
713,Maruti Zen Estilo VXI BSIV,/used-car-details/used-Maruti-Zen-Estilo-VXI-BSIV-cars-Kolkata_352F715B037993D36CC703F53A925408.htm,2012,1.65 Lakh*,,"37,000 kms",Petrol,Dealer,67.1bhp@6200rpm,Manual,First Owner,19.0 kmpl,998 CC,FWD,5,5 Speed
714,Maruti Swift Dzire VXI 1.2 BS IV,/used-car-details/used-Maruti-Dzire-2017-2020-VXI-1.2-BS-IV-cars-Kolkata_DAE27A053546CBE834DC01F9D3077EAB.htm,2016,5 Lakh*,Rs.  6.67-10.01 Lakh*,"23,260 kms",Petrol,Dealer,81.80bhp@6000rpm,Manual,First Owner,22.0 kmpl,1197 CC,FWD,5,5 Speed
715,Hyundai Creta 1.4 E Plus,/used-car-details/used-Hyundai-Creta-2015-2020-1.4-E-Plus-cars-Kolkata_803281C26BEC0B7246266089DD77952F.htm,2018,8.99 Lakh*,Rs.  11.88-19.79 Lakh*,"46,182 kms",Diesel,Dealer,88.7bhp@4000rpm,Manual,First Owner,22.1 kmpl,1396 CC,FWD,5,6 Speed
716,Honda Amaze SX i-VTEC,/used-car-details/used-Honda-Amaze-2013-2016-SX-i-VTEC-cars-Kolkata_39796B1803045BC63C536C79CEF87CA3.htm,2014,3 Lakh*,Rs.  7.04-9.99 Lakh*,"70,000 kms",Petrol,Individual,86.7bhp@6000rpm,Manual,First Owner,18.0 kmpl,1198 CC,FWD,5,5 Speed
717,Mahindra Scorpio S11,/used-car-details/used-Mahindra-Scorpio-S11-cars-Kolkata_CE187E137E7A245DE1629F653D8C7653.htm,2020,15.8 Lakh*,Rs.  14.74-20.21 Lakh*,"30,000 kms",Diesel,Dealer,140bhp@3750rpm,Manual,First Owner,0.0 kmpl,2179 CC,RWD,7,6 Speed
718,Honda City SV MT,/used-car-details/used-Honda-City-2017-2020-SV-MT-cars-Kolkata_381BDB0CFDA39D3A1E288D7535F32D5B.htm,2017,6.25 Lakh*,Rs.  12.47-16.62 Lakh*,"45,000 kms",Petrol,Dealer,117.60bhp@6600rpm,Manual,First Owner,17.4 kmpl,1497 CC,FWD,5,5 Speed
